,Unnamed: 0,기준일자,기업명,종목코드,이연법인세부채,분기코드,비유동부채,비지배지분,유형자산의 처분,유동자산,무형자산의 취득,기타포괄손익,유동부채,자본금,유형자산의 취득,현금및현금성자산,재고자산,매출원가,자산총계,비유동자산,무형자산,이자의 지급,유형자산,이자의 수취,매출총이익,부채총계,금융수익,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
44,44,20181114,셀트리온,00413046,69270277428.0,11014,161901220628,112959463281,18000000.0,1472603113097,-85306925994,601803425,504189818502,125395903000,-32034816963,365492400901,138445129098.0,80678391957,3320973333725,1848370220628,860991690110,-10868716139.0,645255957429,6344150368,118617500359,666091039130,2610742282,2018,3분기,068270,181215,1350110034038,1227.6228424731773,3.5717691302854155
45,45,20220512,셀트리온,00413046,62284743973.0,11011,218455704094,108755540845,18420000.0,1482310007849,-108198557520,1208688981,548121290075,125456133000,-72094133684,399558425745,125717441514.0,347308261920,3370639261764,1888329253915,877141249708,-13995411324.0,677870722592,9633876570,514575964386,766576994169,21096127600,2018,4분기,068270,148826,1350110034038,233.13047134755365,15.266420534029509
46,46,20190515,셀트리온,00413046,59596143379.0,11013,221845397101,107995275869,,1417582248705,-27084253375,329909084,494596599522,127953489000,-19714825375,397885441171,157786487732.0,68128438543,3368891999135,1951309750430,918862247950,-2327554176.0,692742266384,2495703882,123378528651,716441996623,4502093741,2019,1분기,068270,173810,1350110034038,1225.3477168714562,3.6622880366209065
47,47,20190814,셀트리온,00413046,54921250282.0,11012,310161117742,109284724616,,1531524247770,-67839076173,-2620909014,452146500550,128329070000,-23281939418,428922699070,220615061035.0,72970650562,3510134636349,1978610388579,945280546159,-5892349812.0,681809290655,4952740065,123853794350,762307618292,6000186094,2019,2분기,068270,136122,1350110034038,933.7238478456694,3.5284627850863344
48,48,20191114,셀트리온,00413046,58139156070.0,11014,308803889640,109688762258,20000000.0,1598907435843,-113768675680,-625636302,499830109000,128336328000,-46853304950,545692776322,235490304268.0,93306980923,3620387076398,2021479640555,965638672808,-8643805109.0,696544334403,8028424542,154874777089,808633998640,4592743867,2019,3분기,068270,165386,1350110034038,899.7006866177983,4.277851340776749
49,49,20220512,셀트리온,00413046,66655092827.0,11011,286291312657,112803847776,20100000.0,1610730917459,-190291757874,-2420310613,517564388814,128337853000,-63657999673,526092843365,268715675450.0,410455518192,3674522702268,2063791784809,987732187355,-11427965912.0,701428195334,11362767142,571414750660,803855701471,17289400049,2019,4분기,068270,148826,1350110034038,204.64157261902625,15.550720378113589
50,50,20200515,셀트리온,00413046,68852177308.0,11013,345126170926,112336928059,0.0,1811414509571,-31906709044,2585585628,572696526904,134706932000,-14279687163,565895284594,269723850829.0,167382667888,3928985413043,2117570903472,1038866075818,-2287179295.0,703203831635,2227799407,178311534147,917822697830,8014565512,2020,1분기,068270,201934,1350110034038,788.6540127329836,4.538360808239745
51,51,20200814,셀트리온,00413046,75391684148.0,11012,300752645021,113051735576,300000.0,2025165163967,-59290210899,1264973766,676006418464,134939385000,-23405070232,675769153813,305744374041.0,168608807183,4153445480616,2128280316649,1043211295199,-4642289430.0,699671809186,3657609337,235664728082,976759063485,1346575183,2020,2분기,068270,282707,1350110034038,944.1269934787772,5.67395742117815
52,52,20201116,셀트리온,00413046,83284947494.0,11014,312007199564,118225775128,430000.0,2285803632417,-116243081401,4041366289,756435973291,134993738000,-30282701191,647400165054,349728998541.0,191549397322,4428179144084,2142375511667,1076978292417,-6725425303.0,692449126395,5120026557,295820785791,1068443172855,618655272,2020,3분기,068270,267853,1350110034038,742.0048158000135,6.680415948984661
53,53,20220512,셀트리온,00413046,84981288478.0,11011,459265660740,119903308981,953065610.0,2294204328641,-159925049013,10618036884,900571681471,134997805000,-45326173431,615216683989,333901355140.0,734324263547,4781125289232,2486920960591,1088436038129,-9029341836.0,695641290578,5798895209,955462733266,1359837342211,9255305258,2020,4분기,068270,148826,1350110034038,118.90935147725926,19.98405554060428
54,54,20210531,셀트리온,00413046,70086834111.0,11013,448841862191,118735321262,1825000.0,2419272183592,-33312570276,-5880620690,871245632927,137703428000,-6923942391,672749229360,380485166558.0,134369721526,4925713537003,2506441353411,1125885322327,-2757558866.0,692133156164,994627977,250202159154,1320087495118,14799132775,2021,1분기,068270,259523,1350110034038,911.1030316207566,5.079510963729997
55,55,20210817,셀트리온,00413046,49424836729.0,11012,447198481066,123921226315,2175000.0,2392394307500,-110951165919,1588915410,777720943201,137916534000,-16047586188,745078472673,392689598440.0,157561670206,4973283235071,2580888927571,1176942399385,-5261612134.0,692306530455,1777859576,188683871952,1224919424267,2910102615,2021,2분기,068270,259050,1350110034038,1010.1097681654672,3.793949852311323
56,56,20211115,셀트리온,00413046,37443588527.0,11014,388241854301,128982102152,13275000.0,2564341063794,-201072947982,-2390163253,906842467881,137934716000,-35603423315,840549500961,477532676773.0,123057607416,5185056559525,2620715495731,1220506031152,-7785269125.0,701689873662,2687803509,209440519790,1295084322182,22182723018,2021,3분기,068270,220287,1350110034038,894.476283422393,4.039310225174993
57,57,20220512,셀트리온,00413046,20032468308.0,11011,365385720997,16435876563,13425000.0,2699784599659,-245788947661,-8077303670,950175730474,137947128000,-52507708197,1078949146435,505891196547.0,685970660880,5315369383748,2615584784089,1174744172771,-10364848688.0,706187829304,4079864729,929869228928,1315561451471,42417512025,2021,4분기,068270,148826,1350110034038,124.35110507738165,17.493971948047868
58,58,20220516,셀트리온,00413046,25402796937.0,11013,411346496978,2745410096,150000.0,2669666011454,-45120120041,405533607,1064245615636,140688010000,-16418104356,884855735763,601068659230.0,311942839913,5317701177005,2648035165551,1201070102471,-2743156976.0,712562114956,3025873988,226660416582,1475592112614,7330366107,2022,1분기,068270,135822,1350110034038,340.46330546984274,4.262375959787536
59,59,20220816,셀트리온,00413046,26177870567.0,11012,422053110196,671000949,980000.0,2643621550077,-84242474604,-1026234381,960233739411,140767851000,-45029195079,487541633592,602572967744.0,254383604919,5334547658842,2690926108765,1215068116395,-6218329287.0,735841414700,5701065165,243589708808,1382286849607,6981621610,2022,2분기,068270,203251,1350110034038,551.0560645799904,4.566267364848651
