Date,Open,High,Low,Close,Volume,Change,Code,Name,MA_5,fast_%K,slow_%K,slow_%D,RSI,STD,Upper,Lower
2018-01-02,335000,341000,332500,339000,153013,0.019548872180451093,005490,포스코,336500.0,83.33333333333334,68.1774193548387,66.78602150537634,59.13978494623657,4508.471558019809,345516.9431160396,327483.0568839604
2018-01-03,347000,358500,346500,357500,485812,0.054572271386430726,005490,포스코,340600.0,96.61016949152543,71.4994532531438,69.98591215600511,69.84126984126985,6796.864602230378,354193.72920446075,327006.27079553925
2018-01-04,362000,370000,361000,367500,416948,0.027972027972027913,005490,포스코,346200.0,93.90243902439023,72.21542492898959,70.71609391599657,74.48275862068965,9914.76835730149,366029.53671460296,326370.46328539704
2018-01-05,369000,369500,365500,368000,205202,0.0013605442176871652,005490,포스코,352900.0,95.1219512195122,79.62691194708557,71.80599243444594,73.75886524822695,12030.225093050962,376960.45018610195,328839.54981389805
2018-01-08,370000,374000,363500,369500,206165,0.0040760869565217295,005490,포스코,360300.0,89.1566265060241,91.62490391495706,76.62882267980295,78.6764705882353,13874.887386930355,388049.7747738607,332550.2252261393
2018-01-09,372500,377500,371500,377500,229700,0.021650879566982306,005490,포스코,368000.0,100.0,94.95823724829039,81.9849862584933,80.13698630136986,16110.208434079073,400220.41686815815,335779.58313184185
2018-01-10,375000,383000,370000,372500,208474,-0.013245033112582738,005490,포스코,371000.0,52.27272727272727,86.09074880453076,84.90324536877067,82.97872340425532,17233.897900420085,405467.7958008402,336532.2041991598
2018-01-11,369000,371500,363000,366500,210191,-0.016107382550335614,005490,포스코,370800.0,17.5,70.81026099965273,84.6222125829033,76.15894039735099,17702.56820499867,406205.13640999736,335394.86359000264
2018-01-12,373500,389500,373000,386500,295131,0.05457025920873115,005490,포스코,374500.0,88.67924528301887,69.52171981235406,82.60117415595701,79.7752808988764,19567.023816938272,413634.04763387656,335365.95236612344
2018-01-15,387000,387500,377500,380500,186265,-0.015523932729624823,005490,포스코,376700.0,66.0377358490566,64.89794168096054,77.25578170915769,73.77049180327869,20515.334444469067,417730.66888893815,335669.33111106185
2018-01-16,379500,383500,376000,378000,173673,-0.006570302233902758,005490,포스코,376800.0,56.60377358490566,56.218696397941684,69.50787353908795,71.80851063829788,20789.214688593183,418378.42937718634,335221.57062281366
2018-01-17,376000,386000,375500,385500,230473,0.01984126984126977,005490,포스코,379400.0,84.90566037735849,62.745283018867916,64.83878038195539,73.23232323232324,21440.53895139562,422281.07790279126,336518.92209720874
2018-01-18,385500,388500,379500,385000,211404,-0.0012970168612191912,005490,포스코,383100.0,72.72727272727273,73.79073756432247,65.43487569488934,76.71957671957672,21185.56795258699,425471.13590517396,340728.86409482604
2018-01-19,385000,395500,384000,385500,227900,0.0012987012987013546,005490,포스코,382900.0,50.0,66.05488850771869,64.74150943396225,78.49462365591398,20605.377427928,424110.754855856,341689.245144144
2018-01-22,385000,386000,368000,377500,249860,-0.02075226977950717,005490,포스코,382300.0,34.54545454545455,59.75643224699828,63.7132075471698,70.37037037037037,19773.786475506997,421847.572951014,342752.427048986
2018-01-23,377500,382000,376000,380000,174829,0.0066225165562914245,005490,포스코,382700.0,43.63636363636363,57.16295025728988,63.90205831903944,64.3312101910828,19024.222786531245,420748.4455730625,344651.5544269375
2018-01-24,380000,387000,378000,387000,190705,0.018421052631578894,005490,포스코,383000.0,69.0909090909091,54.0,62.15300171526586,62.91390728476821,18283.584814915423,419567.16962983087,346432.83037016913
2018-01-25,387000,394000,376500,392000,274674,0.012919896640826822,005490,포스코,384400.0,87.27272727272727,56.9090909090909,58.776672384219545,65.0,17658.958513725225,419717.91702745046,349082.08297254954
2018-01-26,393000,396000,387500,395000,194814,0.007653061224489832,005490,포스코,386300.0,96.42857142857143,66.19480519480518,58.80465572163685,65.6441717791411,16174.297349091761,418648.59469818353,353951.40530181647
2018-01-29,395000,397500,390000,392000,166584,-0.0075949367088608,005490,포스코,389200.0,74.4186046511628,74.16943521594685,61.687256315426566,59.47712418300654,13332.661715540782,415865.32343108155,362534.67656891845
2018-01-30,388000,393500,379500,379500,270903,-0.03188775510204078,005490,포스코,389100.0,14.285714285714285,68.29930534581698,63.91452733313198,54.166666666666664,9861.007741818506,408822.015483637,369377.984516363
2018-01-31,380000,385500,370500,380500,250773,0.0026350461133068936,005490,포스코,387800.0,37.03703703703704,61.88853093504256,65.4922335201405,58.86075949367089,8442.374323051556,404684.74864610314,370915.25135389686
2018-02-01,385000,400000,381500,395000,334689,0.03810775295663604,005490,포스코,388400.0,83.05084745762711,61.04415497202253,66.31924633272682,55.78231292517007,8487.25825173081,405374.51650346164,371425.48349653836
2018-02-02,390000,390500,381000,383500,227378,-0.029113924050632956,005490,포스코,386100.0,44.06779661016949,50.572000008342144,63.19468529543421,51.89873417721519,7857.112098367277,401814.22419673455,370385.77580326545
2018-02-05,378000,383000,374500,381500,206251,-0.0052151238591916504,005490,포스코,384000.0,37.28813559322034,43.14590619675365,56.98997949159557,52.22929936305732,7250.9527504644,398501.9055009288,369498.0944990712
2018-02-06,380000,380500,367000,375000,318632,-0.017038007863695914,005490,포스코,383100.0,24.242424242424242,45.13724818809564,52.3575680600513,43.2258064516129,7372.200628391549,397844.4012567831,368355.5987432169
2018-02-07,381000,385000,363000,365000,242550,-0.026666666666666616,005490,포스코,380000.0,5.405405405405405,38.810921861769316,47.74204624539666,38.50574712643678,8086.538521713201,396173.0770434264,363826.9229565736
2018-02-08,362000,374000,360000,360500,359224,-0.012328767123287676,005490,포스코,373100.0,1.639344262295082,22.528621222702913,40.03893949553273,36.26373626373627,8793.687927622559,390687.3758552451,355512.6241447549
2018-02-09,348000,354000,345000,352000,311718,-0.023578363384188616,005490,포스코,366800.0,17.5,17.215061900669014,33.3675518739981,36.06557377049181,11018.495216775256,388836.9904335505,344763.0095664495
2018-02-12,355500,364500,352500,363000,215516,0.03125,005490,포스코,363100.0,45.0,18.757434782024944,28.489857591052363,41.50000000000001,11694.690653184387,386489.3813063688,339710.6186936312
2018-02-13,364500,364500,356500,358500,145737,-0.012396694214875992,005490,포스코,359800.0,33.75,20.658949933540093,23.594197940141253,35.38461538461537,12616.066406726843,385032.1328134537,334567.8671865463
2018-02-14,358500,367500,357500,363500,110771,0.013947001394700065,005490,포스코,359500.0,63.793103448275865,32.336489542114194,22.299311476210228,35.38461538461537,12944.49181779829,385388.9836355966,333611.0163644034
2018-02-19,360000,365000,355500,363500,206970,0.0,005490,포스코,360100.0,82.22222222222221,48.45306513409962,27.48420025848957,33.33333333333333,13185.917527901727,386471.8350558035,333728.1649441965
2018-02-20,364000,371500,361500,364500,99610,0.0027510316368637433,005490,포스코,362600.0,63.1578947368421,57.584644081468035,35.55811669464937,35.135135135135144,13267.391763663303,389134.7835273266,336065.2164726734
2018-02-21,365500,365500,356500,364000,168234,-0.00137174211248281,005490,포스코,362800.0,53.125,59.209644081468035,43.64855855453799,40.372670807453424,13499.00093769106,389798.00187538215,335801.99812461785
2018-02-22,359000,363000,356500,359500,144617,-0.012362637362637319,005490,포스코,363000.0,25.0,57.459644081468035,51.00869738412358,37.5,13854.982003444979,390709.96400688996,335290.03599311004
2018-02-23,364000,368500,359500,362500,125529,0.008344923504867818,005490,포스코,362800.0,43.75,53.45102339181286,55.23160415406331,27.58620689655173,13704.086021482988,390208.172042966,335391.827957034
2018-02-26,368000,375000,366500,369500,190909,0.0193103448275862,005490,포스코,364000.0,70.27027027027027,51.060633001422474,55.753117727527886,39.70588235294118,12922.440701516318,389844.88140303263,338155.11859696737
