Open,High,Low,Close,Volume,Change,company_name,Code,Date,MA_5,STD,Upper,Lower,Out,OBV,MA,CCI,fast_k,fast_d,ROC,RSI,RSI_DP,MFI,DP,ks_ROC,ks_DP,ks_fast,Score
335000,341000,332500,339000,153013,0.019548872180451093,POSCO홀딩스,005490,2018-01-02,336500.0,4508.471558019531,345516.94311603904,327483.05688396096,0,-2032953,333800.0,97.9955456570156,90.0,77.5,0.02262443438914027,61.71092892600347,0.06109999999999993,57.79063437302743,0.015600000000000058,-0.0052,-0.009299999999999975,66.10088049246764,0.3794934153556824
347000,358500,346500,357500,485812,0.054572271386430726,POSCO홀딩스,005490,2018-01-03,340600.0,6796.864602230219,354193.72920446045,327006.27079553955,1,-1547141,335250.0,235.97572784197303,96.96969696969697,80.8939393939394,0.04838709677419355,80.58544174448653,0.30679999999999996,57.23587087440165,0.06640000000000001,0.0023,-0.006700000000000039,72.59771725094443,0.31457802653312683
362000,370000,361000,367500,416948,0.027972027972027913,POSCO홀딩스,005490,2018-01-04,346200.0,9914.768357301398,366029.5367146028,326370.4632853972,1,-1130193,336750.0,306.4754583086935,94.3820224719101,81.27034388832142,0.10692771084337349,85.2892142442011,0.30889999999999995,64.00323041155589,0.09129999999999994,-0.0121,-0.014399999999999968,53.31127052718553,0.30306950211524963
369000,369500,365500,368000,205202,0.0013605442176871652,POSCO홀딩스,005490,2018-01-05,352900.0,12030.225093050898,376960.4501861018,328839.5498138982,0,-924991,337900.0,281.50069526152566,95.1219512195122,86.79473413222385,0.130568356374808,85.49999846367623,0.18900000000000006,66.54333098154665,0.08909999999999996,-0.0018,-0.0019000000000000128,83.42861829308127,0.3602709472179413
370000,374000,363500,369500,206165,0.0040760869565217295,POSCO홀딩스,005490,2018-01-08,360300.0,13874.88738693032,388049.77477386064,332550.22522613936,0,-718826,339725.0,262.2016504966315,90.0,93.29473413222385,0.1404320987654321,86.21125997396211,0.0794999999999999,67.13825828279394,0.0875999999999999,-0.004,0.0044999999999999485,97.98817475811018,0.3780148923397064
372500,377500,371500,377500,229700,0.021650879566982306,POSCO홀딩스,005490,2018-01-09,368000.0,16110.20843407906,400220.41686815815,335779.58313184185,0,-489126,341975.0,272.8444960562231,100.0,95.29473413222385,0.16873065015479877,89.50577564700566,0.047900000000000054,76.89763861152935,0.1039000000000001,-0.0181,0.0037000000000000366,87.19646799116998,0.4038771688938141
375000,383000,370000,372500,208474,-0.013245033112582738,POSCO홀딩스,005490,2018-01-10,371000.0,17233.897900420085,405467.7958008402,336532.2041991598,0,-697600,344075.0,243.9017594695122,80.55555555555556,92.01190584939556,0.1443932411674347,75.90407134567398,-0.10150000000000003,75.28745672239218,0.0826,-0.0183,-9.999999999998899e-05,77.94262251655623,0.3539367914199829
369000,371500,363000,366500,210191,-0.016107382550335614,POSCO홀딩스,005490,2018-01-11,370800.0,17702.568204998686,406205.13640999736,335394.86359000264,0,-907791,345775.0,181.47709320695108,69.44444444444444,87.02439024390245,0.14890282131661442,62.27622985126351,-0.22040000000000004,68.34774019193641,0.059900000000000064,-0.0274,-0.0041999999999999815,67.48779867549669,0.46168115735054016
373500,389500,373000,386500,295131,0.05457025920873115,POSCO홀딩스,005490,2018-01-12,374500.0,19567.0238169383,413634.0476338766,335365.9523661234,0,-612660,348500.0,237.52543066607274,94.73684210526315,86.94736842105263,0.19290123456790123,78.04410429036241,-0.0043999999999999595,68.34073972646776,0.10899999999999999,-0.0208,-0.00039999999999995595,75.0021562913907,0.2547684907913208
387000,387500,377500,380500,186265,-0.015523932729624823,POSCO홀딩스,005490,2018-01-15,376700.0,20515.334444469107,417730.6688889382,335669.3311110618,0,-798925,350800.0,207.89385847797055,79.06976744186046,84.76132190942471,0.20221169036334913,67.83649651704945,-0.09199999999999997,59.86160940954947,0.0847,-0.0164,0.0028999999999999027,81.45695364238411,0.5190504193305969
