,기업명,종목코드,사업년도,분기명,유형자산의 처분,매출원가,유동자산,매출총이익,현금및현금성자산,유형자산,유동부채,비유동자산,재고자산,금융수익,비유동부채,이연법인세부채,이자의 지급,자본금,기타포괄손익,부채총계,비지배지분,자산총계,유형자산의 취득,무형자산의 취득,무형자산,이자의 수취,분기코드
52,셀트리온,413046,2020,3분기,430000.0,191549397322,2285803632417,295820785791,647400165054,692449126395,756435973291,2142375511667,349728998541.0,618655272,312007199564,83284947494.0,-6725425303.0,134993738000,4041366289,1068443172855,118225775128,4428179144084,-30282701191,-116243081401,1076978292417,5120026557,11014
53,셀트리온,413046,2020,4분기,953065610.0,734324263547,2294204328641,955462733266,615216683989,695641290578,900571681471,2486920960591,333901355140.0,9255305258,459265660740,84981288478.0,-9029341836.0,134997805000,10618036884,1359837342211,119903308981,4781125289232,-45326173431,-159925049013,1088436038129,5798895209,11011
54,셀트리온,413046,2021,1분기,1825000.0,134369721526,2419272183592,250202159154,672749229360,692133156164,871245632927,2506441353411,380485166558.0,14799132775,448841862191,70086834111.0,-2757558866.0,137703428000,-5880620690,1320087495118,118735321262,4925713537003,-6923942391,-33312570276,1125885322327,994627977,11013
55,셀트리온,413046,2021,2분기,2175000.0,157561670206,2392394307500,188683871952,745078472673,692306530455,777720943201,2580888927571,392689598440.0,2910102615,447198481066,49424836729.0,-5261612134.0,137916534000,1588915410,1224919424267,123921226315,4973283235071,-16047586188,-110951165919,1176942399385,1777859576,11012
56,셀트리온,413046,2021,3분기,13275000.0,123057607416,2564341063794,209440519790,840549500961,701689873662,906842467881,2620715495731,477532676773.0,22182723018,388241854301,37443588527.0,-7785269125.0,137934716000,-2390163253,1295084322182,128982102152,5185056559525,-35603423315,-201072947982,1220506031152,2687803509,11014
57,셀트리온,413046,2021,4분기,13425000.0,685970660880,2699784599659,929869228928,1078949146435,706187829304,950175730474,2615584784089,505891196547.0,42417512025,365385720997,20032468308.0,-10364848688.0,137947128000,-8077303670,1315561451471,16435876563,5315369383748,-52507708197,-245788947661,1174744172771,4079864729,11011
58,셀트리온,413046,2022,1분기,150000.0,311942839913,2669666011454,226660416582,884855735763,712562114956,1064245615636,2648035165551,601068659230.0,7330366107,411346496978,25402796937.0,-2743156976.0,140688010000,405533607,1475592112614,2745410096,5317701177005,-16418104356,-45120120041,1201070102471,3025873988,11013
59,셀트리온,413046,2022,2분기,980000.0,254383604919,2643621550077,243589708808,487541633592,735841414700,960233739411,2690926108765,602572967744.0,6981621610,422053110196,26177870567.0,-6218329287.0,140767851000,-1026234381,1382286849607,671000949,5334547658842,-45029195079,-84242474604,1215068116395,5701065165,11012
60,셀트리온,413046,2022,3분기,1130000.0,215582294831,2757305042007,237117262448,543586851440,755095090479,963235887155,2742135924388,564471842049.0,6789672166,431608895980,26164996673.0,-10546665798.0,140791866000,-745020455,1394844783135,277973305,5499440966395,-87541760412,-135278719923,1244786492252,8462384642,11014
61,셀트리온,413046,2022,4분기,2040000.0,1052058067945,2580534103661,885411229528,501359476759,775993732622,1105339629955,2990949026273,544603169670.0,24067143477,296194697401,,-16224945721.0,140805210000,191451187,1401534327356,4811149867,5571483129934,-107155737359,-197838456608,1318556078705,11771407782,11011
