Open,High,Low,Close,Adj Close,Volume
1737.280029,1762.439941,1685.369995,1685.459961,1685.459961,1243600
1693.530029,1726.76001,1664.130005,1724.859985,1724.859985,766300
1731.170044,1743.910034,1706.680054,1725.439941,1725.439941,1000100
1745.25,1794.189941,1742.670044,1791.880005,1791.880005,1219400
1826.719971,1838.969971,1791.920044,1823.599976,1823.599976,951400
1815.75,1842.160034,1801.800049,1807.140015,1807.140015,907500
1838.089966,1839.329956,1818.300049,1836.209961,1836.209961,920600
1835.76001,1861.099976,1824.430054,1860.699951,1860.699951,992500
1853.300049,1853.300049,1825.76001,1825.76001,1825.76001,1017800
1846.410034,1864.459961,1837.170044,1857.079956,1857.079956,886800
1839.51001,1862.22998,1828.130005,1857.069946,1857.069946,878300
1893.310059,1926.02002,1893.189941,1914.530029,1914.530029,1667500
1908.339966,1925.25,1893.170044,1898.359985,1898.359985,1087500
1886.780029,1898.319946,1841.660034,1879.380005,1879.380005,1174300
1855.51001,1897.900024,1844.849976,1896.150024,1896.150024,820400
1907.449951,1923.530029,1895.97998,1914.72998,1914.72998,683700
1906.069946,1908.290039,1880.709961,1889.01001,1889.01001,933900
1897.060059,1929.819946,1894.619995,1922.77002,1922.77002,735700
1931.25,1941.790039,1911.630005,1934.089966,1934.089966,1173500
1936.890015,1957.51001,1934.310059,1947.560059,1947.560059,1984200
1906.420044,1918.660034,1894.290039,1895.369995,1895.369995,1146900
1919.449951,1928.76001,1919.449951,1928.76001,1928.76001,1082200
1922.0,1938.5,1918.569946,1928.609985,1928.609985,775700
1944.939941,1956.890015,1942.540039,1945.819946,1945.819946,784500
1953.51001,1960.459961,1932.869995,1935.400024,1935.400024,591100
1938.619995,1938.619995,1905.170044,1922.170044,1922.170044,799900
1897.5,1940.420044,1897.23999,1940.420044,1940.420044,618800
1922.439941,1931.430054,1913.48999,1924.959961,1924.959961,760600
1937.630005,1938.589966,1913.209961,1927.280029,1927.280029,866400
1934.51001,1943.069946,1921.140015,1937.109985,1937.109985,761700
